pt1_X,pt1_Y,pt1_Z
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.092042,0.128260,0.172954
0.088431,0.128536,0.172672
0.086096,0.138705,0.172185
0.081965,0.136303,0.171982
0.078299,0.137018,0.171662
0.074432,0.131341,0.171401
0.071166,0.131873,0.171458
0.067687,0.129672,0.171076
0.064079,0.127985,0.171069
0.061348,0.131910,0.170703
0.058684,0.129382,0.170399
0.055401,0.125825,0.170294
0.052494,0.124302,0.170679
0.048965,0.126334,0.170435
0.045242,0.124968,0.170659
0.042199,0.126566,0.170676
0.038665,0.126417,0.170857
0.035164,0.126049,0.170724
0.030571,0.119907,0.170482
0.027723,0.122880,0.170816
0.024054,0.123627,0.170192
0.019593,0.121358,0.170399
0.015417,0.116768,0.170964
0.011300,0.117719,0.170710
0.007979,0.118687,0.170843
0.004047,0.118184,0.170833
-0.000263,0.117451,0.171238
-0.004890,0.119523,0.171510
-0.009373,0.120575,0.170849
-0.014066,0.119812,0.170204
-0.018795,0.119291,0.169826
-0.023771,0.116761,0.169593
-0.026890,0.120992,0.169032
-0.032214,0.117789,0.168575
-0.035597,0.120560,0.168341
-0.040277,0.119014,0.168159
-0.044608,0.118153,0.167775
-0.048627,0.118785,0.167611
-0.051546,0.121771,0.167153
-0.056103,0.116630,0.167139
-0.060087,0.116159,0.167287
-0.063691,0.116383,0.167247
-0.067665,0.115518,0.167232
-0.072032,0.113763,0.167317
-0.074492,0.117365,0.167146
-0.078482,0.116557,0.167490
-0.082878,0.116599,0.168540
-0.085679,0.119526,0.168903
-0.089653,0.119538,0.169108
-0.094085,0.114477,0.169336
-0.097702,0.113401,0.169263
-0.100861,0.116389,0.169810
-0.104069,0.115687,0.169815
-0.107669,0.115471,0.169935
-0.110795,0.117710,0.169695
-0.114889,0.114932,0.170569
-0.117228,0.116398,0.170497
-0.120841,0.115838,0.170703
-0.124412,0.116381,0.170850
-0.127180,0.116827,0.170815
-0.130596,0.112857,0.170738
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
